,ID,Title,Year,Runtime,Genres,AvgRating,VoteCount,Directors,Producers,Writers,Actors
1179,tt0377818,The Dukes of Hazzard,2005.0,104,Comedy,5.1,80814.0,Jay Chandrasekhar,Bill Gerber,"Gy Waldron, John O'Brien, Jonathan L. Davis","Seann William Scott, Johnny Knoxville, Jessica Simpson, Alice Greczyn"
1180,tt0377992,The Gospel of John,2003.0,180,"Biography,Drama,History",7.7,4046.0,Philip Saville,"Chris Chrisafis, Garth H. Drabinsky",John Goldsmith,"Henry Ian Cusick, Daniel Kash, Christopher Plummer, Scott Handy"
1181,tt0378109,Into the Blue,2005.0,110,"Action,Adventure,Crime",5.9,78489.0,John Stockwell,David Zelon,Matt Johnson,"Paul Walker, Jessica Alba, Scott Caan, Ashley Scott"
1182,tt0379314,Home,2001.0,59,Documentary,,,,Takaharu Yasuoka,,Takahiro Kobayashi
1183,tt0379557,Touching the Void,2003.0,106,"Adventure,Documentary,Drama",8.0,37328.0,Kevin Macdonald,John Smithson,,"Simon Yates, Joe Simpson, Brendan Mackey, Nicholas Aaron"
1184,tt0379725,Capote,2005.0,114,"Biography,Crime,Drama",7.3,137771.0,Bennett Miller,"William Vince, Caroline Baron, Michael Ohoven","Dan Futterman, Gerald Clarke","Philip Seymour Hoffman, Clifton Collins Jr., Catherine Keener, Allie Mickelson"
1185,tt0379786,Serenity,2005.0,119,"Action,Adventure,Sci-Fi",7.8,301925.0,Joss Whedon,Barry Mendel,,"Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk"
1186,tt0379865,Leatherheads,2008.0,114,"Comedy,Drama,Romance",6.0,32980.0,,"Grant Heslov, Casey Silver","Duncan Brantley, Rick Reilly","George Clooney, Renée Zellweger, John Krasinski, David de Vries"
1187,tt0379889,The Merchant of Venice,2004.0,131,"Drama,Romance",7.0,37584.0,Michael Radford,"Luciano Silighini Garagnani, Cary Brokaw, Michael Cowan, Fabio De Carli",William Shakespeare,"Al Pacino, Joseph Fiennes, Lynn Collins, Jeremy Irons"
1188,tt0379976,Savage Grace,2007.0,97,Drama,5.7,11809.0,Tom Kalin,"Iker Monfort, Pamela Koffler","Howard A. Rodman, Natalie Robins, Steven M.L. Aronson","Julianne Moore, Eddie Redmayne, Stephen Dillane, Anne Reid"
1189,tt0380277,The Cookout,2004.0,97,Comedy,3.8,3141.0,Lance Rivera,,"Ramsey Gbelawoe, Queen Latifah, Shakim Compere, Darryl French, Laurie B. Turner","Quran Pender, Jenifer Lewis, Ja Rule, Tim Meadows"
